region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
ambala,238000,2015,hyundai,i10,salvage,4.0,petrol,74750,clean,manual,fwd,hatchback
ambala,495000,2023,tata,tiago,good,3.0,petrol,22532,clean,manual,fwd,hatchback
ambala,395000,2024,renault,kwid,good,3.0,petrol,26729,clean,manual,fwd,hatchback
ambala,474000,2020,maruti suzuki,baleno,fair,4.0,petrol,53900,clean,manual,fwd,hatchback
ambala,245000,2014,maruti suzuki,alto k10,fair,3.0,petrol,39596,clean,manual,fwd,hatchback
ambala,463000,2022,maruti suzuki,ignis,good,4.0,petrol,19150,clean,manual,fwd,hatchback
ambala,753000,2024,hyundai,i20,good,4.0,petrol,21505,clean,automatic,fwd,hatchback
ambala,508000,2022,renault,triber,good,3.0,petrol,20368,clean,manual,fwd,muv
ambala,1816000,2023,mahindra,scorpio n,fair,4.0,diesel,51499,clean,automatic,rwd,suv
ambala,319000,2015,maruti suzuki,swift dzire,salvage,4.0,diesel,74176,clean,manual,fwd,sedan
ambala,442000,2018,maruti suzuki,swift,fair,4.0,petrol,55356,clean,manual,fwd,hatchback
ambala,398000,2023,renault,kwid,like new,3.0,petrol,4091,clean,manual,fwd,hatchback
bangalore,762000,2023,maruti suzuki,baleno,good,4.0,petrol,29207,clean,automatic,fwd,hatchback
bangalore,3080358,2017,mercedes-benz,e-class,fair,4.0,diesel,44996,clean,automatic,rwd,sedan
bangalore,346000,2016,ford,figo,salvage,4.0,petrol,85654,clean,manual,fwd,sedan
bangalore,460000,2016,hyundai,grand i10,salvage,4.0,petrol,111842,clean,automatic,fwd,hatchback
bangalore,414000,2018,maruti suzuki,celerio,fair,3.0,petrol,52220,clean,automatic,fwd,hatchback
bangalore,382000,2017,mahindra,kuv100,fair,3.0,petrol,52972,clean,manual,fwd,crossover
bangalore,881000,2021,maruti suzuki,brezza,good,4.0,petrol,17156,clean,manual,fwd,suv
bangalore,401000,2014,hyundai,grand i10,salvage,4.0,petrol,90761,clean,automatic,fwd,hatchback
bangalore,408000,2012,hyundai,verna,fair,4.0,petrol,55679,clean,manual,fwd,sedan
bangalore,569000,2019,maruti suzuki,baleno,salvage,4.0,petrol,114302,clean,manual,fwd,hatchback
bangalore,412000,2017,maruti suzuki,wagon r,salvage,3.0,petrol,77180,clean,automatic,fwd,hatchback
