car_id,region,price,year,manufacturer,model,cylinder,fuel,odometer,transmission,drive,types,core_rating,supporting_rating,interior_rating,exterior_rating,wear_rating
25390748,Jaipur,261000,2012,Honda,Brio,4,petrol,31581,manual,,hatchback,9.8,9.6,8.4,8.1,8.5
20839607,Jaipur,971000,2022,Skoda,Kushaq,3,petrol,27701,manual,FWD,suv,9.9,9.8,9.5,9.5,9
23327055,Jaipur,574000,2020,Hyundai,Elite i20,4,petrol,62659,manual,FWD,hatchback,9.8,9.5,8.7,7.9,8.7
20506882,Jaipur,1270000,2021,Kia,Seltos,4,petrol,73233,automatic,FWD,suv,9.7,9.5,8.7,8.6,7.9
22868579,Jaipur,509000,2023,Tata,Tiago,3,petrol,33657,manual,FWD,hatchback,9.8,9.8,8.9,9,8.7
22318210,Jaipur,610000,2018,Maruti Suzuki,Dzire,4,petrol,38299,automatic,FWD,sedan,9,9.5,8.5,8.2,8.6
21443084,Jaipur,501000,2019,Hyundai,Elite i20,4,petrol,60397,manual,FWD,hatchback,9.8,9.6,8.1,8.2,8.7
22743819,Jaipur,308000,2015,Hyundai,Grand i10,4,petrol,82488,manual,FWD,hatchback,9.2,9.3,7.8,7.7,8.1
24256516,Jaipur,947000,2021,Hyundai,Verna,4,petrol,48694,manual,FWD,sedan,9.8,9.7,8.2,8.7,8.7
13835262,Jaipur,1101000,2017,Skoda,Octavia,4,diesel,96976,automatic,FWD,sedan,9.6,9,8,7.2,8.2
20853457,Jaipur,384000,2016,Volkswagen,Polo,3,petrol,73492,manual,FWD,hatchback,9.7,9.5,8.6,7.7,7.7
19890540,Jaipur,840000,2021,Hyundai,Venue,4,diesel,67082,manual,FWD,suv,9.7,9.4,9.2,8.6,8.6
16139993,Jaipur,346000,2014,Honda,Amaze,4,petrol,82478,manual,FWD,sedan,9.7,9.2,8.2,7.4,8.4
22399322,Jaipur,1595000,2021,Mahindra,XUV700,4,diesel,55706,automatic,FWD,suv,9.8,9.5,8.5,8.5,7.5
22194173,Jaipur,238000,2015,Maruti Suzuki,Alto 800,3,petrol,42599,manual,FWD,hatchback,9.5,9.7,8.4,8.5,8.6
19579931,Jaipur,1142000,2021,Mahindra,Thar,4,petrol,38150,automatic,4WD,suv,9.7,9.7,9.1,9,7.9
20431482,Jaipur,849000,2019,Hyundai,Verna,4,petrol,58886,automatic,FWD,sedan,9.8,7.5,8.5,8.5,8
22531177,Jaipur,472000,2017,Maruti Suzuki,Dzire,4,petrol,96393,automatic,FWD,sedan,9.1,9.4,7.9,7.9,7.4
19217990,Jaipur,495000,2012,Toyota,Innova,,diesel,124705,manual,RWD,muv,9.1,8.1,7.7,7.5,7.8
23951700,Jaipur,1675000,2022,Mahindra,Scorpio N,4,petrol,60466,automatic,RWD,suv,9.7,9.4,9,8.8,8.4
17693475,Jaipur,1145000,2021,Mahindra,Thar,4,petrol,34436,automatic,4WD,suv,9.9,9.8,9.3,7.8,8.4
25267141,Jaipur,533484,2015,Honda,City,4,petrol,68584,manual,FWD,sedan,9.3,9.2,7.8,7.1,7.7
